user,level,department,knowledge,knowledge2,knowledge3,sername,email,password,smtp,active
user28,-2,MARKETING,MARKETING,MARKETING,MARKETING,user28_-2_MARKETING,user28_-2_MARKETING@eknowedge.com,user28_-2_MARKETING,192.168.1.135,Y
user29,-2,SUPPORT,SUPPORT,SUPPORT,SUPPORT,user29_-2_SUPPORT,user29_-2_SUPPORT@eknowedge.com,user29_-2_SUPPORT,192.168.1.136,Y
user30,-2,SUPPORT,SUPPORT,SUPPORT,SUPPORT,user30_-2_SUPPORT,user30_-2_SUPPORT@eknowedge.com,user30_-2_SUPPORT,192.168.1.137,Y
user31,-2,SUPPORT,SUPPORT,SUPPORT,SUPPORT,user31_-2_SUPPORT,user31_-2_SUPPORT@eknowedge.com,user31_-2_SUPPORT,192.168.1.138,Y
user32,-2,STRATEGY,STRATEGY,STRATEGY,STRATEGY,user32_-2_STRATEGY,user32_-2_STRATEGY@eknowedge.com,user32_-2_STRATEGY,192.168.1.139,Y
user33,-2,STRATEGY,STRATEGY,STRATEGY,STRATEGY,user33_-2_STRATEGY,user33_-2_STRATEGY@eknowedge.com,user33_-2_STRATEGY,192.168.1.140,Y
user34,-2,STRATEGY,STRATEGY,STRATEGY,STRATEGY,user34_-2_STRATEGY,user34_-2_STRATEGY@eknowedge.com,user34_-2_STRATEGY,192.168.1.141,Y
user35,-2,PROVIDERS,PROVIDERS,PROVIDERS,PROVIDERS,user35_-2_PROVIDERS,user35_-2_PROVIDERS@eknowedge.com,user35_-2_PROVIDERS,192.168.1.142,Y
user36,-2,PROVIDERS,PROVIDERS,PROVIDERS,PROVIDERS,user36_-2_PROVIDERS,user36_-2_PROVIDERS@eknowedge.com,user36_-2_PROVIDERS,192.168.1.143,Y
user37,-2,PROVIDERS,PROVIDERS,PROVIDERS,PROVIDERS,user37_-2_PROVIDERS,user37_-2_PROVIDERS@eknowedge.com,user37_-2_PROVIDERS,192.168.1.144,Y
user38,-3,TECHNOLOGY,TECHNOLOGY,TECHNOLOGY,TECHNOLOGY,user38_-3_TECHNOLOGY,user38_-3_TECHNOLOGY@eknowedge.com,user38_-3_TECHNOLOGY,192.168.1.145,Y
user39,-3,OPERATIONS,OPERATIONS,OPERATIONS,OPERATIONS,user39_-3_OPERATIONS,user39_-3_OPERATIONS@eknowedge.com,user39_-3_OPERATIONS,192.168.1.146,Y
user40,-3,SALES,SALES,SALES,SALES,user40_-3_SALES,user40_-3_SALES@eknowedge.com,user40_-3_SALES,192.168.1.147,Y
user41,-3,MARKETING,MARKETING,MARKETING,MARKETING,user41_-3_MARKETING,user41_-3_MARKETING@eknowedge.com,user41_-3_MARKETING,192.168.1.148,Y
user42,-3,SUPPORT,SUPPORT,SUPPORT,SUPPORT,user42_-3_SUPPORT,user42_-3_SUPPORT@eknowedge.com,user42_-3_SUPPORT,192.168.1.149,Y
user43,-3,STRATEGY,STRATEGY,STRATEGY,STRATEGY,user43_-3_STRATEGY,user43_-3_STRATEGY@eknowedge.com,user43_-3_STRATEGY,192.168.1.150,Y
user44,-3,PROVIDERS,PROVIDERS,PROVIDERS,PROVIDERS,user44_-3_PROVIDERS,user44_-3_PROVIDERS@eknowedge.com,user44_-3_PROVIDERS,192.168.1.151,Y
user45,-3,TECHNOLOGY,TECHNOLOGY,TECHNOLOGY,TECHNOLOGY,user45_-3_TECHNOLOGY,user45_-3_TECHNOLOGY@eknowedge.com,user45_-3_TECHNOLOGY,192.168.1.152,Y
